change,review_status,mode_key,in_elena_questions,before_gap_region,before_rules_reason,before_rules_decision,before_input_fingerprint,before_rf_cnn_decision,after_gap_region,after_rules_reason,after_rules_decision,after_input_fingerprint,after_rf_cnn_decision
added,new_review,nstxuE203262A04t018/N10/egn10w.2741E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,643e8acda7d139367939fb742b75209814a4e6395dabcc8353776a9f3584f475,BAD,tae_like,BAD_CONT_CROSS_WINDOW,BAD,643e8acda7d139367939fb742b75209814a4e6395dabcc8353776a9f3584f475,GOOD
added,new_review,nstxuE203262A04t018/N10/egn10w.3973E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,2c0709e623a3fec074d259fa94ad6091c5f248b301d574d9c387a85658ef118c,BAD,tae_like,BAD_CONT_CROSS_WINDOW,BAD,2c0709e623a3fec074d259fa94ad6091c5f248b301d574d9c387a85658ef118c,GOOD
added,new_review,nstxuE203262A04t018/N10/egn10w.4444E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,b7696d5c96e0e41707bce45de810b3616330287266e914d35f04d3af59d7d627,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,b7696d5c96e0e41707bce45de810b3616330287266e914d35f04d3af59d7d627,GOOD
added,new_review,nstxuE203262A04t018/N10/egn10w.4510E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,c133df069e83ad45fb9634cd664dac26badb69295b75cf4fa5260f7498774b41,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,c133df069e83ad45fb9634cd664dac26badb69295b75cf4fa5260f7498774b41,GOOD
added,already_approved,nstxuE203262A04t018/N10/egn10w.6623E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,BAD
added,new_review,nstxuE203262A04t018/N9/egn09w.2705E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,a61ca57b154763e828882efd077cf380119eedeff10f811f40d95efbc557fdbd,BAD,tae_like,BAD_CONT_CROSS_WINDOW,BAD,a61ca57b154763e828882efd077cf380119eedeff10f811f40d95efbc557fdbd,GOOD
added,already_approved,nstxuE203262A04t018/N9/egn09w.4938E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,BAD
added,new_review,nstxuE204645A16t015/N10/egn10w.5190E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,16c30475939061b03733fbe123d07b45955365e374bb3b81fcdf41a15282ed94,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,16c30475939061b03733fbe123d07b45955365e374bb3b81fcdf41a15282ed94,GOOD
added,new_review,nstxuE204645A16t015/N10/egn10w.5446E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,a736222ed675e370707ccfec72851cba2a4e9f42b5763516fa31010e88f86098,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,a736222ed675e370707ccfec72851cba2a4e9f42b5763516fa31010e88f86098,GOOD
added,new_review,nstxuE204645A16t015/N10/egn10w.5761E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,5c604a8625a768ea12b84071ff9c63a3a934acc1764672b5dd974f753ed8a8eb,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,5c604a8625a768ea12b84071ff9c63a3a934acc1764672b5dd974f753ed8a8eb,GOOD
