path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N2/egn02w.8168E+01,nstxuE204669M03t025,2,2,201,25,2.857937516149908,-0.0,scored,tae_like,0.9533539529496452,1.0,0.43,8.090009154063132e-22,0.215,bad,flagged_borderline_or_disagreement,False,True,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7170E+01,nstxuE204669M03t025,4,4,201,46,2.6776311495780725,-0.0,scored,tae_like,0.7848020493144476,1.0,0.24,0.9947338104248047,0.6173669052124023,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7288E+01,nstxuE204669M03t025,4,4,201,46,2.6996821701639835,-0.0,scored,tae_like,0.8124593418333294,1.0,0.39666666666666667,1.0,0.6983333333333334,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7493E+01,nstxuE204669M03t025,4,4,201,46,2.7372691450664646,-0.0,scored,tae_like,0.8386647196256521,1.0,0.5166666666666667,1.0,0.7583333333333333,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.7677E+01,nstxuE204669M03t025,4,4,201,46,2.7707273405891373,-0.0,scored,tae_like,0.9523655418717939,1.0,0.39666666666666667,1.0,0.6983333333333334,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.1691E+02,nstxuE204669M03t025,4,4,201,46,4.112465380393401,-5.794050802731029e-07,scored,tae_like,0.9682417142245362,0.9966462983857984,0.27666666666666667,0.9999539852142334,0.63831032594045,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N4/egn04w.2546E+02,nstxuE204669M03t025,4,4,201,46,5.046051800632952,-0.014673344383913796,scored,mixed,-0.23912625245131022,0.48014467943910105,0.02666666666666667,1.0,0.5133333333333333,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.7072E+01,nstxuE204669M03t025,5,5,201,57,2.6593765461681436,-0.0,scored,tae_like,0.7499974665882587,1.0,0.21,1.0,0.605,bad,flagged_borderline_or_disagreement,True,False,True,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.1514E+02,nstxuE204669M03t025,5,5,201,57,3.8915651606610737,-5.727823011295923e-06,scored,tae_like,0.9876191743627455,0.998880059391015,0.5933333333333334,1.0,0.7966666666666666,good,silver_good,False,True,True,True,,
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.1736E+02,nstxuE204669M03t025,5,5,201,57,4.166989365245105,-4.077940786870489e-06,scored,tae_like,0.9788111445986577,0.9966954403242437,0.2866666666666667,1.0,0.6433333333333333,bad,flagged_borderline_or_disagreement,True,False,True,,,
