path,shot,ntor,review_priority,interpretation,gap_region,log_status,omega,n_interior_crossings,fraction_interior_abs_gt_2,notes
nstxuE202806A02t045/N1/egn01w.3772E+01,nstxuE202806A02t045,1,1,LARGE_INPUT_DISCREPANCY,tae_like,MATCHED,1.9422919968606887,1,1.0,"N1/3772 and 4129: sharp structure follows logged r~0.43-0.63, far from the sole upper datcon crossing at r~0.18-0.22. N2 also has absent correspondence. This E shot requires paired continuum/mode/run provenance review; cause is unconfirmed."
nstxuE202806A02t045/N1/egn01w.4129E+01,nstxuE202806A02t045,1,1,LARGE_INPUT_DISCREPANCY,tae_like,MATCHED,2.0319770333501554,1,1.0,"N1/3772 and 4129: sharp structure follows logged r~0.43-0.63, far from the sole upper datcon crossing at r~0.18-0.22. N2 also has absent correspondence. This E shot requires paired continuum/mode/run provenance review; cause is unconfirmed."
nstxuE202806A02t045/N2/egn02w.1335E+01,nstxuE202806A02t045,2,1,N2_CONTROL,tae_like,MATCHED,1.1552926279646385,0,,Diagnostic control; N2 is not assumed valid.
nstxuE202806A02t045/N2/egn02w.8709E+01,nstxuE202806A02t045,2,1,N2_CONTROL,mixed,MATCHED,2.951101889855585,1,1.0,Diagnostic control; N2 is not assumed valid.
nstxuE205059A01t025/N1/egn01w.7184E+01,nstxuE205059A01t025,1,1,REPEATED_MODEST_OFFSET,tae_like,MATCHED,2.680206884413324,1,0.0,48 interior upper crossings are outward of the nearest logged radii by 1.45-3.44 intervals (35 beyond two); three lower crossings align. A smaller repeated pattern than the large G discrepancies; not yet an invalidity decision.
nstxuE205059A01t025/N1/egn01w.2265E+02,nstxuE205059A01t025,1,1,REPEATED_MODEST_OFFSET,tae_like,MATCHED,4.759583368369603,1,1.0,48 interior upper crossings are outward of the nearest logged radii by 1.45-3.44 intervals (35 beyond two); three lower crossings align. A smaller repeated pattern than the large G discrepancies; not yet an invalidity decision.
nstxuE205059A01t025/N1/egn01w.2275E+02,nstxuE205059A01t025,1,1,REPEATED_MODEST_OFFSET,mixed,MATCHED,4.7692223803767915,1,1.0,48 interior upper crossings are outward of the nearest logged radii by 1.45-3.44 intervals (35 beyond two); three lower crossings align. A smaller repeated pattern than the large G discrepancies; not yet an invalidity decision.
nstxuE205059A01t025/N1/egn01w.4340E+02,nstxuE205059A01t025,1,1,REPEATED_MODEST_OFFSET,tae_like,MATCHED,6.587564135061809,1,0.0,48 interior upper crossings are outward of the nearest logged radii by 1.45-3.44 intervals (35 beyond two); three lower crossings align. A smaller repeated pattern than the large G discrepancies; not yet an invalidity decision.
nstxuG121123N22/N1/egn01w.1748E+02,nstxuG121123N22,1,1,SPARSE_DISCREPANCY,tae_like,MATCHED,4.180941077998753,3,1.0,Three informative modes. Several branch offsets and missing counterparts; 1827 has no nearby logged counterpart. Do not interpret its 45.9-interval distance as an identified resonance translation.
nstxuG121123N22/N1/egn01w.1827E+02,nstxuG121123N22,1,1,SPARSE_DISCREPANCY,tae_like,MATCHED,4.273915033335485,1,1.0,Three informative modes. Several branch offsets and missing counterparts; 1827 has no nearby logged counterpart. Do not interpret its 45.9-interval distance as an identified resonance translation.
nstxuG121123N75/N1/egn01w.1836E+02,nstxuG121123N75,1,1,SPARSE_DISCREPANCY,tae_like,MATCHED,4.284994640687861,1,1.0,One informative TAE-side N1 mode: 1836 has a sharp feature near logged r=0.39 versus datcon r=0.4330. N2 also has repeated disagreements (41/41 interior comparisons beyond two intervals).
nstxuG121123N75/N2/egn02w.4092E+02,nstxuG121123N75,2,1,N2_CONTROL,tae_like,MATCHED,6.3971115822216795,1,1.0,Diagnostic control; N2 is not assumed valid.
nstxuG121123N75/N2/egn02w.5404E+02,nstxuG121123N75,2,1,N2_CONTROL,mixed,MATCHED,7.351041313185359,3,1.0,Diagnostic control; N2 is not assumed valid.
nstxuG121123Q62/N1/egn01w.1388E+02,nstxuG121123Q62,1,1,REPEATED_DISCREPANCY,mixed,MATCHED,3.725714837758782,3,0.6666666666666666,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment. Q62 training was already suspended for a separate issue.
nstxuG121123Q62/N1/egn01w.2780E+02,nstxuG121123Q62,1,1,REPEATED_DISCREPANCY,mixed,MATCHED,5.272401943863255,1,1.0,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment. Q62 training was already suspended for a separate issue.
nstxuG121123R42/N1/egn01w.4390E+02,nstxuG121123R42,1,1,REPEATED_DISCREPANCY,tae_like,MATCHED,6.625525826263897,1,1.0,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG121123R42/N1/egn01w.6590E+02,nstxuG121123R42,1,1,REPEATED_DISCREPANCY,mixed,MATCHED,8.117860874551328,2,1.0,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG121123R42/N2/egn02w.2407E+02,nstxuG121123R42,2,1,N2_CONTROL,tae_like,MATCHED,4.906304026090161,1,0.0,Diagnostic control; N2 is not assumed valid.
nstxuG121123R42/N2/egn02w.6465E+02,nstxuG121123R42,2,1,N2_CONTROL,mixed,MATCHED,8.040650269735897,2,1.0,Diagnostic control; N2 is not assumed valid.
nstxuG133964U37/N1/egn01w.1597E+02,nstxuG133964U37,1,1,SPARSE_DISCREPANCY,tae_like,MATCHED,3.995860959900289,3,0.6666666666666666,Three modes near the lower-continuum maximum have inner offsets of -4.0 to -5.6 intervals and an outer lower crossing without a nearby log counterpart; upper crossings align. Four informative TAE-side modes in total.
nstxuG133964U37/N1/egn01w.1616E+02,nstxuG133964U37,1,1,SPARSE_DISCREPANCY,tae_like,MATCHED,4.020398619237375,3,0.6666666666666666,Three modes near the lower-continuum maximum have inner offsets of -4.0 to -5.6 intervals and an outer lower crossing without a nearby log counterpart; upper crossings align. Four informative TAE-side modes in total.
