path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE202806A02t025/N6/egn06w.9229E+01,good,nstxuE202806A02t025,6,egn06w.9229E+01,3.0378755419516703,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.2,3.5320228344210057e-16,silver_bad,0.9881678333693297,BAD_CONT_CROSS_WINDOW,True,,REVIEW,rule_survivor_policy,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117,nstxuE202806A02t025/N6/egn06w.9229E+01
nstxuE202806A02t025/N8/egn08w.9030E+01,good,nstxuE202806A02t025,8,egn08w.9030E+01,3.0049459811295405,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.39666666666666667,7.653383704564476e-09,silver_bad,0.9851959910401419,BAD_CONT_CROSS_WINDOW,True,,REVIEW,rule_survivor_policy,50e17b41f61158411b7324db314d13b3e5fef52169002702ff6f01aeb27e8b15,nstxuE202806A02t025/N8/egn08w.9030E+01
nstxuE202806A02t025/N8/egn08w.1611E+02,good,nstxuE202806A02t025,8,egn08w.1611E+02,4.0137452722111515,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,GOOD,0.25333333333333335,1.0,flagged_borderline_or_disagreement,0.8429459835242991,BAD_GRID_SCALE_SPIKE,True,,REVIEW,rule_survivor_policy,1f885e062dc5bc88436795fdf3913507ec9ec2d6f5f72f3695ce8de95c86f16d,nstxuE202806A02t025/N8/egn08w.1611E+02
nstxuE202806A02t025/N10/egn10w.5223E+01,good,nstxuE202806A02t025,10,egn10w.5223E+01,2.285456254205026,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.4633333333333333,5.266993029307853e-25,flagged_borderline_or_disagreement,0.3683468752196638,BAD_GRID_SCALE_SPIKE,True,,REVIEW,rule_survivor_policy,85449cbce8b30569d6d216bb2c0f732c1b9797401306f3daafd693395ba98bbe,nstxuE202806A02t025/N10/egn10w.5223E+01
nstxuE202926A03t025/N4/egn04w.1699E+02,good,nstxuE202926A03t025,4,egn04w.1699E+02,4.122127563488432,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.18666666666666668,0.0,gold_bad,0.7768592290958402,BAD_GRID_SCALE_SPIKE,True,,REVIEW,rule_survivor_policy,8980ab1455466f19b4013e6b450e8b176602fee8f9cbee9b0d6f99c08ecd2f9d,nstxuE202926A03t025/N4/egn04w.1699E+02
nstxuE202947A03t015/N6/egn06w.2056E+01,good,nstxuE202947A03t015,6,egn06w.2056E+01,1.4338557299524362,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,GOOD,0.22,0.9999997615814209,flagged_borderline_or_disagreement,0.5524966208570271,BAD_GRID_SCALE_SPIKE,True,,REVIEW,rule_survivor_policy,e09123c9800bf582aa1a7fc4e323d0dd839a64b19da8aa6e20bb989e3709a0b0,nstxuE202947A03t015/N6/egn06w.2056E+01
nstxuE202947A03t015/N9/egn09w.2108E+01,good,nstxuE202947A03t015,9,egn09w.2108E+01,1.4520464570549125,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.19333333333333333,0.0,gold_bad,0.9525927953363806,BAD_INTERIOR_HARMONIC_INCOHERENCE,True,,REVIEW,rule_survivor_policy,90caee9e2468b4077ed1211edbd8578da4fc68820c73a4d7575d2543ac409cf9,nstxuE202947A03t015/N9/egn09w.2108E+01
nstxuE203262A04t018/N3/egn03w.1291E+02,good,nstxuE203262A04t018,3,egn03w.1291E+02,3.593078455562715,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.4766666666666667,4.112856984457172e-26,flagged_borderline_or_disagreement,0.9465243944205121,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,,REVIEW,rule_survivor_policy,dc0dbe66a74fe5e8e63a5592c644b991b38ddcfef663d46d16be46c629cd5973,nstxuE203262A04t018/N3/egn03w.1291E+02
nstxuE203262A04t018/N4/egn04w.1263E+02,good,nstxuE203262A04t018,4,egn04w.1263E+02,3.5535715245045703,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.39666666666666667,0.0,silver_bad,0.606075979694346,BAD_CONT_CROSS_WINDOW,True,,REVIEW,rule_survivor_policy,133cc8ecfd2fa650ca0d4ff17cad0d6079db5aef56ba8b2e4207912ebda03212,nstxuE203262A04t018/N4/egn04w.1263E+02
nstxuE203262A04t018/N7/egn07w.2226E+01,good,nstxuE203262A04t018,7,egn07w.2226E+01,1.491833968867219,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.37666666666666665,1.2014831352047395e-09,silver_bad,0.6458169070078721,BAD_GRID_SCALE_SPIKE,True,,REVIEW,rule_survivor_policy,e93291bfa9d7d33f290f285b8399e864e704f55c6b4f8492d39ea48c08a1f8ca,nstxuE203262A04t018/N7/egn07w.2226E+01
