shot,mode_key,input_fingerprint,reason,diagnostic
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1532E+03,75c893b2e09377fe7118c40e073e9d8a9941c7b7175aa6055faf106ec5748fdf,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1555E+03,5f5f8cb6da86cb1e9b635aaab3235524b6f081234326a0c2ab0f59a22e827dc8,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1559E+03,150bdff0e65963fd71ca1fa0225c3bdef65a02a9e7d74fbaa09f394baa83826b,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1572E+03,b4adb11ee019ee504e61507937c8f40267dd9fb8cd051c7173e155293dded13a,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1573E+03,8cb46541de5cce659eeaed066948115ec0a6112b0e64c53918b7476d48e0a80f,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1574E+03,ff79cb99c3c6088a355827e262b451286d332c30b79dd437b6480f7496bbb54c,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1575E+03,9b984e16214cb112102b4bffe668df75464e2a01d1125b192fe4203def899766,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1576E+03,c0670f4098a6ac1c0787f973a759f2e23019740d2f8ff93ed8adaad7cfdb2b30,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1577E+03,8d37de474f7523150fba24efaa15d90ef2bea610f9099ead9b17710499bc0ae3,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1580E+03,b17b08b9d8271844469b26d12f3663026061e9d36fb4305ae0e2fb15ae6b3b9a,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
nstxuG142301M21,nstxuG142301M21/N4/egn04w.1582E+03,1242f0db61432926356eb3376c7357e2afc70c9fa21fb28698e24f4f471c7270,INVALID_METADATA,omega/gamma_d/ntor/nr/nhar contains a non-finite value
