review_index,path,decision,validity,family,morphology,review_note,n,omega,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,max_cross_W_secondary,secondary_crossings
1,nstxuG121123B12/N7/egn07w.1373E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,7,3.705097811719401,0.34500000000000003,lower_max,0.34500000000000003,0.0,0.0032483553015058082,0.6587484584764844,0.009348073872130902,low@0.2414:W=0.00329856;high@0.9690:W=0.00934807
2,nstxuG121123B12/N7/egn07w.2666E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,7,5.163718673859293,0.05,lower_max,0.05,0.0,0.009191850422211795,0.8937459639184824,7.098597699080554e-06,high@0.8438:W=7.0986e-06
3,nstxuG121123B12/N7/egn07w.2697E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,7,5.1930188224318625,0.055,lower_max,0.05,0.0049999999999999975,0.014782206818406569,0.9498275935707078,1.48955563580096e-07,high@0.8426:W=1.48956e-07
4,nstxuG121123B12/N7/egn07w.2770E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,7,5.2631443770385635,0.045,lower_max,0.05,0.0050000000000000044,0.027909139922628928,0.9025018894319722,7.823121139186346e-05,high@0.8346:W=7.82312e-05
5,nstxuG121123B12/N7/egn07w.2883E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,7,5.36925277959459,0.05,upper_min,0.055,0.0049999999999999975,0.022669485026609846,0.9098949909330833,1.1774090135700337e-05,high@0.8310:W=1.17741e-05
6,nstxuG121123B12/N7/egn07w.2949E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,7,5.430588658178975,0.17500000000000002,upper_min,0.18,0.004999999999999977,0.005649147045029377,0.9272368699007414,6.792482092944266e-07,high@0.8236:W=6.79248e-07
7,nstxuG121123B12/N7/egn07w.2972E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,7,5.451634872183323,0.18,upper_min,0.18,0.0,0.0017668057550809,0.8986254018105305,0.00020211442185041824,high@0.8229:W=0.000202114
8,nstxuG121123B12/N8/egn08w.1250E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,8,3.535569159333138,0.39,lower_max,0.39,0.0,0.0086923652149367,0.8978009819626568,0.0019186232312668645,low@0.3273:W=0.00191862;high@0.9748:W=7.24787e-06
9,nstxuG121123B12/N8/egn08w.2078E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,8,4.55892242126274,0.14,lower_max,0.135,0.0050000000000000044,0.002039659522473522,0.985875160667224,0.000637623269885705,low@0.0525:W=0.000637623;high@0.8952:W=0.000298891
10,nstxuG121123B12/N8/egn08w.2963E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,8,5.443577403753704,0.135,upper_min,0.14,0.0050000000000000044,0.001512371014177705,0.929504152937932,7.48265216575125e-05,high@0.8251:W=7.48265e-05
11,nstxuG121123B12/N9/egn09w.1374E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,9,3.7061519524174784,0.34500000000000003,lower_max,0.34500000000000003,0.0,0.005958892385121246,0.6943471391108367,0.005381544017248732,low@0.2652:W=0.00342265;high@0.9685:W=0.00538154
12,nstxuG121123B12/N9/egn09w.1743E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,9,4.174365078376087,0.215,lower_max,0.21,0.0050000000000000044,0.001109304789425915,0.95103498480376,0.0007840275854939909,low@0.0468:W=0.000322205;low@0.0778:W=0.000126488;low@0.1329:W=0.000784028;high@0.9385:W=0.0005844
13,nstxuG121123B12/N9/egn09w.2255E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,9,4.748653180771367,0.105,lower_max,0.11,0.0050000000000000044,0.003444743149594544,0.9976988810251511,1.5457486765893544e-08,high@0.8805:W=1.54575e-08
14,nstxuG121123B12/N9/egn09w.2347E+02,confirmed,bad,none,axis_spike_novac_failure,Confirmed BAD: unacceptable r=0 spike; NOVA-C will choke on this structure,9,4.8447001402577206,0.11,lower_max,0.11,0.0,0.023201611399345914,0.9674912396930844,1.8379440373784033e-07,high@0.8722:W=1.83794e-07
15,nstxuG121123B12/N9/egn09w.2884E+02,confirmed,good,tae,global_tae,User-confirmed physical TAE; wider/more global than extremum examples,9,5.370238672964665,0.215,upper_min,0.215,0.0,0.027968120064357824,0.5676808861886644,0.003288695809261722,high@0.8303:W=0.0032887
16,nstxuG121123B12/N9/egn09w.2912E+02,confirmed,good,tae,extremum_tae,User-confirmed narrow physical extremum-localized TAE,9,5.395989655156192,0.11,upper_min,0.11,0.0,0.011668408520047375,0.9702025503387683,1.901982848634826e-06,high@0.8287:W=1.90198e-06
17,nstxuG121123B12/N10/egn10w.1503E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,10,3.8774736109506174,0.3,lower_max,0.3,0.0,0.003134951016487658,0.9925074980662258,0.00010394149230945221,low@0.2011:W=0.000103941;high@0.9601:W=6.76245e-07
18,nstxuG121123B12/N10/egn10w.1550E+02,pending,,,crossing_uncertain,"Possibly physical/GOOD, but retain as pending because the inner lower-continuum crossing may be too close to the mode envelope",10,3.9374158042376632,0.3,lower_max,0.3,0.0,0.018310965036383475,0.7729750352167901,0.005630753569306883,low@0.1224:W=1.91798e-05;low@0.1401:W=1.13304e-05;low@0.1973:W=0.00563075;high@0.9568:W=1.47466e-07
19,nstxuG121123B12/N10/egn10w.1909E+02,confirmed,bad,none,too_narrow_or_axis_boundary,User-rejected as too radially narrow to be physical and/or affected by r=0 boundary structure,10,4.369328443182994,0.165,lower_max,0.17,0.0050000000000000044,0.0019300844238754424,0.9891502865024946,0.0030255177123047513,low@0.0632:W=2.9877e-05;low@0.1038:W=0.00302552;high@0.9163:W=3.81431e-09
